Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1241586,-,-,-,39.33,-74.1,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,Day,Hour,Minute,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,22,0,0,-6,0,5.9,0.3,264,75.72,-2.3,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,22,30,0,-6,0,5.9,0.3,265,75.72,-2.3,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,23,0,0,-6,0,6,0.3,266,75.3,-2.2,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,23,30,0,-6,0,6,0.3,268,75.3,-2.2,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,0,0,0,-6,0,6,0.3,270,74.71,-2.1,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,0,30,0,-6,0,5.9,0.3,272,74.71,-2.1,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,1,0,0,-6,0,5.9,0.3,275,74.4,-2.1,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,1,30,0,-6,0,5.7,0.3,277,74.95,-2.2,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,2,0,0,-6.2,0,5.6,0.3,280,74.22,-2.2,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,2,30,0,-6.2,0,5.4,0.3,282,74.77,-2.3,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,3,0,0,-6.4,0,5.2,0.3,285,73.91,-2.4,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,3,30,0,-6.4,0,5,0.3,288,75.01,-2.6,1029,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,4,0,0,-6.8,0,4.8,0.3,291,73.48,-2.7,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,4,30,0,-6.8,0,4.5,0.3,294,74.02,-2.8,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,5,0,0,-7.3,0,4.2,0.3,298,71.86,-2.9,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,5,30,0,-7.3,0,3.9,0.2,301,72.4,-3,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
